season,estaca,nido_id,ambiente,huevo,pichon,fecha_puesta,fecha_walkout
s14-15,200,7,,2,2,25/10/2014,25/12/2014
s14-15,200,8,,2,2,25/10/2014,25/12/2014
s14-15,200,9,,2,1,25/10/2014,25/12/2014
s14-15,200,10,,2,1,25/10/2014,25/12/2014
s14-15,200,11,,2,0,25/10/2014,25/12/2014
s14-15,200,12,,2,2,25/10/2014,25/12/2014
s14-15,200,13,,2,2,25/10/2014,25/12/2014
s14-15,200,14,,2,1,25/10/2014,25/12/2014
s14-15,200,15,,2,0,25/10/2014,25/12/2014
s14-15,200,16,,2,1,25/10/2014,25/12/2014
s14-15,200,17,,2,2,25/10/2014,25/12/2014
s14-15,200,18,,2,1,25/10/2014,25/12/2014
s14-15,200,19,,2,1,25/10/2014,25/12/2014
s14-15,200,20,,2,0,25/10/2014,25/12/2014
s14-15,300,1,,2,2,25/10/2014,25/12/2014
s14-15,300,2,,2,2,25/10/2014,25/12/2014
s14-15,300,6,,2,2,25/10/2014,25/12/2014
s14-15,300,8,,2,1,25/10/2014,25/12/2014
s14-15,300,9,,2,0,25/10/2014,25/12/2014
s14-15,300,10,,2,2,25/10/2014,25/12/2014
s14-15,300,11,,2,0,25/10/2014,25/12/2014
s14-15,300,14,,2,1,25/10/2014,25/12/2014
s14-15,300,15,,2,0,25/10/2014,25/12/2014
s14-15,300,16,,2,1,25/10/2014,25/12/2014
s14-15,300,17,,2,2,25/10/2014,25/12/2014
s14-15,300,18,,2,2,25/10/2014,25/12/2014
s14-15,300,19,,2,0,25/10/2014,25/12/2014
s14-15,300,20,,2,2,25/10/2014,25/12/2014
s14-15,400,1,,2,0,25/10/2014,25/12/2014
s14-15,400,2,,2,0,25/10/2014,25/12/2014
s14-15,400,3,,2,2,25/10/2014,25/12/2014
s14-15,400,4,,2,2,25/10/2014,25/12/2014
s14-15,400,6,,2,2,25/10/2014,25/12/2014
s14-15,400,7,,2,2,25/10/2014,25/12/2014
s14-15,400,8,,2,1,25/10/2014,25/12/2014
s14-15,400,9,,2,2,25/10/2014,25/12/2014
s14-15,400,10,,1,0,25/10/2014,25/12/2014
s14-15,400,11,,2,1,25/10/2014,25/12/2014
s14-15,400,12,,2,0,25/10/2014,25/12/2014
s14-15,400,13,,2,0,25/10/2014,25/12/2014
s14-15,400,15,,2,2,25/10/2014,25/12/2014
s14-15,400,17,,2,2,25/10/2014,25/12/2014
s14-15,400,19,,2,2,25/10/2014,25/12/2014
s14-15,400,20,,1,1,25/10/2014,25/12/2014
s14-15,500,1,,2,1,25/10/2014,3/1/2015
s14-15,500,2,,2,1,25/10/2014,3/1/2015
s14-15,500,3,,2,0,25/10/2014,3/1/2015
s14-15,500,4,,2,1,25/10/2014,3/1/2015
s14-15,500,5,,2,2,25/10/2014,3/1/2015
s14-15,500,6,,2,0,25/10/2014,3/1/2015
s14-15,500,7,,2,2,25/10/2014,3/1/2015
s14-15,500,8,,2,2,25/10/2014,3/1/2015
s14-15,500,9,,2,1,25/10/2014,3/1/2015
s14-15,500,10,,2,2,25/10/2014,3/1/2015
s14-15,500,11,,2,2,25/10/2014,3/1/2015
s14-15,500,12,,2,2,25/10/2014,3/1/2015
s14-15,500,13,,2,1,25/10/2014,3/1/2015
s14-15,500,14,,2,1,25/10/2014,3/1/2015
s14-15,500,15,,2,0,25/10/2014,3/1/2015
