"","season","estaca","nido_id","ambiente","huevo","pichon","fecha_puesta","fecha_walkout","ER","colname3","SST","Chla","SSTA","SAM"
"169","s11-12",600,11,NA,1,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"170","s11-12",600,12,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"171","s11-12",600,13,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"172","s11-12",600,14,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"173","s11-12",600,15,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"174","s11-12",600,16,NA,2,1,2011-10-23,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"175","s11-12",600,17,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"176","s11-12",600,18,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"177","s11-12",600,19,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"178","s11-12",600,20,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"179","s12-13",200,1,NA,1,0,2012-10-17,2012-12-20,0,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"180","s12-13",200,2,NA,2,2,2012-10-17,2012-12-20,1,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"181","s12-13",200,3,NA,2,1,2012-10-17,2012-12-20,0.5,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"182","s12-13",200,4,NA,2,2,2012-10-17,2012-12-20,1,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"183","s12-13",200,5,NA,2,2,2012-10-17,2012-12-20,1,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"184","s12-13",200,6,NA,2,0,2012-10-17,2012-12-20,0,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"185","s12-13",200,7,NA,2,0,2012-10-17,2012-12-20,0,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"186","s12-13",200,8,NA,2,2,2012-10-17,2012-12-20,1,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"187","s12-13",200,9,NA,2,2,2012-10-17,2012-12-20,1,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"188","s12-13",200,10,NA,2,2,2012-10-17,2012-12-20,1,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"189","s12-13",200,11,NA,2,2,2012-10-17,2012-12-20,1,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"190","s12-13",200,12,NA,2,2,2012-10-17,2012-12-20,1,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"191","s12-13",200,13,NA,2,0,2012-10-17,2012-12-20,0,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
"192","s12-13",200,14,NA,2,0,2012-10-17,2012-12-20,0,"MLEON",5.00192326728744,3.96508127944904,0.875615457554797,-0.4244
