arroyo;fecha;hora;am_pm;pabs;temp;manejo
16;3/2/2018;05:26:17;AM;740,43;8,382;sin
16;3/2/2018;06:26:17;AM;740,18;8,282;sin
16;3/2/2018;07:26:17;AM;740,18;8,282;sin
16;3/2/2018;08:26:17;AM;740,2;8,382;sin
16;3/2/2018;09:26:17;AM;740,22;8,481;sin
16;3/2/2018;10:26:17;AM;739,57;8,68;sin
16;3/2/2018;11:26:17;AM;739,32;8,978;sin
16;3/2/2018;12:26:17;PM;738,83;9,176;sin
16;3/2/2018;01:26:17;PM;739,18;9,373;sin
16;3/2/2018;02:26:17;PM;738,74;9,472;sin
16;3/2/2018;03:26:17;PM;738,32;9,669;sin
16;3/2/2018;04:26:17;PM;737,57;10,161;sin
16;3/2/2018;05:26:17;PM;737,9;10,259;sin
16;3/2/2018;06:26:17;PM;737,9;10,259;sin
16;3/2/2018;07:26:17;PM;738,2;10,259;sin
16;3/2/2018;08:26:17;PM;738,05;10,259;sin
16;3/2/2018;09:26:17;PM;738,57;10,161;sin
16;3/2/2018;10:26:17;PM;739,25;10,063;sin
16;3/2/2018;11:26:17;PM;739,46;9,965;sin
16;4/2/2018;12:26:17;AM;740;9,965;sin
16;4/2/2018;01:26:17;AM;739,9;9,866;sin
16;4/2/2018;02:26:17;AM;740,03;9,768;sin
16;4/2/2018;03:26:17;AM;740,11;9,768;sin
16;4/2/2018;04:26:17;AM;740,47;9,669;sin
16;4/2/2018;05:26:17;AM;740,37;9,571;sin
16;4/2/2018;06:26:17;AM;740,43;9,472;sin
16;4/2/2018;07:26:17;AM;740,48;9,373;sin
16;4/2/2018;08:26:17;AM;740,46;9,275;sin
16;4/2/2018;09:26:17;AM;740,85;9,275;sin
16;4/2/2018;10:26:17;AM;741,47;9,275;sin
16;4/2/2018;11:26:17;AM;741,1;9,373;sin
16;4/2/2018;12:26:17;PM;741,23;9,275;sin
16;4/2/2018;01:26:17;PM;741,28;9,472;sin
16;4/2/2018;02:26:17;PM;740,74;9,472;sin
16;4/2/2018;03:26:17;PM;740,45;9,571;sin
16;4/2/2018;04:26:17;PM;741,05;9,472;sin
16;4/2/2018;05:26:17;PM;742,1;9,373;sin
16;4/2/2018;06:26:17;PM;742,24;9,275;sin
16;4/2/2018;07:26:17;PM;742,43;9,077;sin
16;4/2/2018;08:26:17;PM;742,92;8,879;sin
16;4/2/2018;09:26:17;PM;743,71;8,581;sin
16;4/2/2018;10:26:17;PM;744,29;8,382;sin
16;4/2/2018;11:26:17;PM;744,78;8,182;sin
16;5/2/2018;12:26:17;AM;744,83;8,082;sin
16;5/2/2018;01:26:17;AM;744,72;7,882;sin
16;5/2/2018;02:26:17;AM;744,7;7,782;sin
16;5/2/2018;03:26:17;AM;744,98;7,682;sin
16;5/2/2018;04:26:17;AM;745,4;7,481;sin
16;5/2/2018;05:26:17;AM;745,28;7,28;sin
16;5/2/2018;06:26:17;AM;745,73;7,179;sin
16;5/2/2018;07:26:17;AM;745,78;7,079;sin
16;5/2/2018;08:26:17;AM;745,78;7,079;sin
16;5/2/2018;09:26:17;AM;745,8;7,179;sin
